tick,cycle,router_id,nocname,nps_type,queue_kind,inport,vc,depth
52000,52,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
52000,52,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
52000,52,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
53000,53,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
53000,53,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
53000,53,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
53000,53,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
54000,54,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
54000,54,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
54000,54,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
54000,54,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
55000,55,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
55000,55,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
55000,55,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
55000,55,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
56000,56,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
56000,56,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
56000,56,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
56000,56,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
57000,57,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
57000,57,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
57000,57,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
57000,57,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
58000,58,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
58000,58,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
58000,58,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
58000,58,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
59000,59,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
59000,59,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
59000,59,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
59000,59,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
60000,60,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
60000,60,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
60000,60,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
60000,60,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
61000,61,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
61000,61,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
61000,61,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
61000,61,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
62000,62,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
62000,62,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
62000,62,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
62000,62,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
63000,63,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
63000,63,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
63000,63,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
63000,63,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
64000,64,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
64000,64,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
64000,64,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
64000,64,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
65000,65,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
65000,65,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
65000,65,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
65000,65,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
66000,66,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
66000,66,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
66000,66,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
66000,66,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
67000,67,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
67000,67,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
67000,67,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
67000,67,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
68000,68,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
68000,68,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
68000,68,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
68000,68,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
69000,69,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
69000,69,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
69000,69,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
69000,69,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
70000,70,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
70000,70,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
70000,70,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
70000,70,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
71000,71,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
71000,71,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
71000,71,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
71000,71,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
72000,72,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
72000,72,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
72000,72,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
72000,72,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
73000,73,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
73000,73,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
73000,73,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
73000,73,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
74000,74,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
74000,74,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
74000,74,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
74000,74,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
75000,75,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
75000,75,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
75000,75,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
75000,75,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
76000,76,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
76000,76,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
76000,76,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
76000,76,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
77000,77,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
77000,77,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
77000,77,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
77000,77,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
78000,78,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
78000,78,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
78000,78,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
78000,78,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
79000,79,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
79000,79,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
79000,79,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
79000,79,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
80000,80,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
80000,80,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
80000,80,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
80000,80,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
81000,81,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
81000,81,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
81000,81,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
81000,81,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
82000,82,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
82000,82,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
82000,82,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
82000,82,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
83000,83,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
83000,83,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
83000,83,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
83000,83,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
84000,84,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
84000,84,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
84000,84,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
84000,84,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
85000,85,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
85000,85,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
85000,85,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
85000,85,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
86000,86,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
86000,86,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
86000,86,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
86000,86,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
87000,87,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
87000,87,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
87000,87,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
87000,87,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
88000,88,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
88000,88,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
88000,88,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
88000,88,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
89000,89,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
89000,89,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
89000,89,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
89000,89,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
90000,90,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
90000,90,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
90000,90,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
90000,90,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
91000,91,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
91000,91,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
91000,91,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
91000,91,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
92000,92,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
92000,92,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
92000,92,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
92000,92,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
93000,93,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
93000,93,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
93000,93,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
93000,93,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
94000,94,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
94000,94,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
94000,94,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
94000,94,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
95000,95,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
95000,95,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
95000,95,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
95000,95,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
96000,96,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
96000,96,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
96000,96,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
96000,96,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
97000,97,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
97000,97,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
97000,97,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
97000,97,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
98000,98,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
98000,98,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
98000,98,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
98000,98,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
99000,99,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
99000,99,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
99000,99,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
100000,100,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
100000,100,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
100000,100,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
101000,101,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
101000,101,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
101000,101,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
102000,102,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
102000,102,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
102000,102,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
103000,103,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
103000,103,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
103000,103,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
103000,103,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
104000,104,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
104000,104,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
104000,104,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
104000,104,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
105000,105,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
105000,105,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
105000,105,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
105000,105,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
106000,106,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
106000,106,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
106000,106,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
106000,106,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
107000,107,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
107000,107,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
