Source,Target,SourcePort,TargetPort,Channel
NOC_NPS6_X0Y1,NOC_NPS4_X0Y0,port5_out,portSideA1_in,201
NOC_NPS6_X0Y1,NOC_NPS5555_X5Y4,port3_out,port1_in,199
NOC_NPS5555_X5Y4,NOC_NPS6_X0Y1,port1_out,port3_in,217
NOC_NPS6_X0Y0,NOC_NPS4_X0Y1,port4_in,portSideA0_out,16
NOC_NPS6_X0Y0,NOC_NPS4_X0Y1,port4_out,portSideA0_in,195
NOC_NPS6_X0Y0,NOC_NPS4_X0Y0,port5_in,portSideA0_out,8
NOC_NPS6_X0Y0,NOC_NPS4_X0Y0,port5_out,portSideA0_in,196
NOC_NPS6_X0Y0,NOC_NPS5555_X5Y3,port3_in,port0_out,212
NOC_NPS6_X0Y0,NOC_NPS5555_X5Y3,port3_out,port0_in,194
NOC_NPS6_X0Y2,NOC_NPS4_X0Y1,port4_in,portSideA2_out,18
NOC_NPS6_X0Y2,NOC_NPS4_X0Y1,port4_out,portSideA2_in,205
NOC_NPS6_X0Y2,NOC_NPS4_X0Y0,port5_in,portSideA2_out,10
NOC_NPS6_X0Y2,NOC_NPS4_X0Y0,port5_out,portSideA2_in,206
NOC_NPS6_X0Y2,NOC_NPS5555_X5Y6,port3_out,port1_in,204
NOC_NPS5555_X5Y6,NOC_NPS6_X0Y2,port1_out,port3_in,225
NOC_NPS6_X0Y3,NOC_NPS4_X0Y1,port4_in,portSideA3_out,19
NOC_NPS6_X0Y3,NOC_NPS4_X0Y1,port4_out,portSideA3_in,210
NOC_NPS6_X0Y3,NOC_NPS4_X0Y0,port5_in,portSideA3_out,11
NOC_NPS6_X0Y3,NOC_NPS4_X0Y0,port5_out,portSideA3_in,211
NOC_NPS6_X0Y3,NOC_NPS5555_X5Y5,port3_out,port0_in,209
NOC_NPS5555_X5Y5,NOC_NPS6_X0Y3,port0_out,port3_in,220
NOC_NPS4_X0Y1,HBM_MC_X1Y0,portSideB2_in,pc0_port1_out,21
