NOC_NPS6_X0Y1 port3_out  Channel 199 port1_in NOC_NPS5555_X5Y4
NOC_NPS5555_X5Y4 port1_out  Channel 217 port3_in NOC_NPS6_X0Y1
NOC_NPS6_X0Y0 port4_in  Channel 16 portSideA0_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y0 port4_out  Channel 195 portSideA0_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y0 port5_in  Channel 8 portSideA0_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y0 port5_out  Channel 196 portSideA0_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y0 port3_in  Channel 212  port0_out NOC_NPS5555_X5Y3
NOC_NPS6_X0Y0 port3_out Channel 194  port0_in NOC_NPS5555_X5Y3
NOC_NPS6_X0Y2 port4_in  Channel 18 portSideA2_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y2 port4_out  Channel 205 portSideA2_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y2 port5_in  Channel 10 portSideA2_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y2 port5_out  Channel 206 portSideA2_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y2 port3_out  Channel 204 port1_in NOC_NPS5555_X5Y6
NOC_NPS5555_X5Y6 port1_out  Channel 225 port3_in NOC_NPS6_X0Y2
NOC_NPS6_X0Y3 port4_in  Channel 19 portSideA3_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y3 port4_out  Channel 210 portSideA3_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y3 port5_in  Channel 11 portSideA3_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y3 port5_out  Channel 211 portSideA3_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y3 port3_out  Channel 209 port0_in NOC_NPS5555_X5Y5
NOC_NPS5555_X5Y5 port0_out  Channel 220 port3_in NOC_NPS6_X0Y3
NOC_NPS4_X0Y1 portSideB2_in  Channel 21 pc0_port1_out HBM_MC_X1Y0
NOC_NPS4_X0Y1 portSideB3_in  Channel 23 pc1_port1_out HBM_MC_X1Y0
NOC_NPS4_X0Y1 portSideB2_out  Channel 14 pc0_port1_in HBM_MC_X1Y0
NOC_NPS4_X0Y1 portSideB3_out  Channel 15 pc1_port1_in HBM_MC_X1Y0
HBM_MC_X1Y0 pc1_port0_out  Channel 22 portSideB3_in NOC_NPS4_X0Y0
HBM_MC_X1Y0 pc0_port0_out  Channel 20 portSideB2_in NOC_NPS4_X0Y0
HBM_MC_X1Y0 pc1_port0_in  Channel 7 portSideB3_out NOC_NPS4_X0Y0
HBM_MC_X1Y0 pc0_port0_in  Channel 6 portSideB2_out NOC_NPS4_X0Y0
HBM_MC_X0Y0 pc1_port1_out  Channel 3 portSideB1_in NOC_NPS4_X0Y1
HBM_MC_X0Y0 pc0_port1_out  Channel 1 portSideB0_in NOC_NPS4_X0Y1
HBM_MC_X0Y0 pc1_port1_in  Channel 13 portSideB1_out NOC_NPS4_X0Y1
HBM_MC_X0Y0 pc0_port1_in  Channel 12 portSideB0_out NOC_NPS4_X0Y1
HBM_MC_X0Y0 pc1_port0_out  Channel 2 portSideB1_in NOC_NPS4_X0Y0
HBM_MC_X0Y0 pc0_port0_out  Channel 0 portSideB0_in NOC_NPS4_X0Y0
HBM_MC_X0Y0 pc1_port0_in  Channel 5 portSideB1_out NOC_NPS4_X0Y0
HBM_MC_X0Y0 pc0_port0_in  Channel 4 portSideB0_out NOC_NPS4_X0Y0
NOC_NPS5555_X5Y5 port1_in  Channel 246 port0_out NOC_NPS6_X1Y3
NOC_NPS5555_X5Y5 port1_out  Channel 221 port0_in NOC_NPS6_X1Y3
NOC_NPS5555_X5Y3 port1_in  Channel 228 port0_out NOC_NPS6_X1Y0
NOC_NPS5555_X5Y3 port1_out  Channel 213 port0_in NOC_NPS6_X1Y0
NOC_NPS5555_X5Y6 port2_in  Channel 240 port0_out NOC_NPS6_X1Y2
NOC_NPS5555_X5Y6 port2_out  Channel 226 port0_in NOC_NPS6_X1Y2
NOC_NPS5555_X5Y4 port2_in  Channel 234 port0_out NOC_NPS6_X1Y1
NOC_NPS5555_X5Y4 port2_out  Channel 218 port0_in NOC_NPS6_X1Y1
NOC_NPS5555_X5Y5 port2_out  Channel 222 port0_in NOC_NPS5555_X5Y6
NOC_NPS5555_X5Y5 port2_in  Channel 224 port0_out NOC_NPS5555_X5Y6
NOC_NPS5555_X5Y5 port3_out  Channel 223 port3_in NOC_NPS5555_X5Y3
NOC_NPS5555_X5Y5 port3_in  Channel 215 port3_out NOC_NPS5555_X5Y3
NOC_NPS5555_X5Y3 port2_out  Channel 214 port0_in NOC_NPS5555_X5Y4
NOC_NPS5555_X5Y3 port2_in  Channel 216 port0_out NOC_NPS5555_X5Y4
NOC_NPS5555_X5Y6 port3_out  Channel 227 port1_in NOC_NCRB_X0Y0
NOC_NPS5555_X5Y6 port3_in  Channel 507 port1_out NOC_NCRB_X0Y1
NOC_NPS5555_X5Y4 port3_out  Channel 219 port0_in NOC_NCRB_X0Y0
NOC_NPS5555_X5Y4 port3_in  Channel 506 port0_out NOC_NCRB_X0Y1
NOC_NCRB_X0Y1 port1_in  Channel 542 port2_out NOC_NPS_VNOC_X0Y36
NOC_NCRB_X0Y0 port0_out  Channel 504 port0_in NOC_NPS_VNOC_X0Y37
NOC_NCRB_X0Y1 port0_in  Channel 524 port0_out NOC_NPS_VNOC_X0Y37
NOC_NCRB_X0Y0 port1_out  Channel 505 port2_in NOC_NPS_VNOC_X0Y36
NOC_NMU512_X0Y18 resp_in  Channel 527 port3_out NOC_NPS_VNOC_X0Y37
NOC_NMU512_X0Y18 req_out  Channel 520 port3_in NOC_NPS_VNOC_X0Y37
NOC_NPS_VNOC_X0Y37 port1_in  Channel 541 port1_out NOC_NPS_VNOC_X0Y36
NOC_NPS_VNOC_X0Y37 port1_out  Channel 525 port1_in NOC_NPS_VNOC_X0Y36
NOC_NPS_VNOC_X0Y36 port3_in  Channel 556 resp NOC_NSU512_X0Y18
NOC_NPS_VNOC_X0Y36 port3_out  Channel 543 req NOC_NSU512_X0Y18
NOC_NPS_VNOC_X0Y37 port2_out  Channel 526 port0_in NOC_NPS_VNOC_X0Y35
NOC_NPS_VNOC_X0Y37 port2_in  Channel 564 port0_out NOC_NPS_VNOC_X0Y35
NOC_NPS_VNOC_X0Y36 port0_out  Channel 540 port2_in NOC_NPS_VNOC_X0Y34
NOC_NPS_VNOC_X0Y36 port0_in  Channel 582 port2_out NOC_NPS_VNOC_X0Y34
NOC_NMU512_X0Y17 resp_in  Channel 567 port3_out NOC_NPS_VNOC_X0Y35
NOC_NMU512_X0Y17 req_out  Channel 560 port3_in NOC_NPS_VNOC_X0Y35
NOC_NPS_VNOC_X0Y35 port1_in  Channel 581 port1_out NOC_NPS_VNOC_X0Y34
NOC_NPS_VNOC_X0Y35 port1_out  Channel 565 port1_in NOC_NPS_VNOC_X0Y34
NOC_NPS_VNOC_X0Y34 port3_in  Channel 596 resp NOC_NSU512_X0Y17
NOC_NPS_VNOC_X0Y34 port3_out  Channel 583 req NOC_NSU512_X0Y17
NOC_NPS_VNOC_X0Y35 port2_out  Channel 566 port0_in NOC_NPS_VNOC_X0Y33
NOC_NPS_VNOC_X0Y35 port2_in  Channel 604 NOC_NPS_VNOC_X0Y33 port0_out
NOC_NPS_VNOC_X0Y34 port0_out  Channel 580 port2_in NOC_NPS_VNOC_X0Y32
NOC_NPS_VNOC_X0Y34 port0_in  Channel 622 port2_out NOC_NPS_VNOC_X0Y32
NOC_NMU512_X0Y16 resp_in  Channel 607 NOC_NPS_VNOC_X0Y33 port3_out
NOC_NMU512_X0Y16 req_out  Channel 600 port3_in NOC_NPS_VNOC_X0Y33
NOC_NPS_VNOC_X0Y33 port1_in  Channel 621 port1_out NOC_NPS_VNOC_X0Y32
NOC_NPS_VNOC_X0Y33 port1_out  Channel 605 port1_in NOC_NPS_VNOC_X0Y32
NOC_NPS_VNOC_X0Y32 port3_in  Channel 636 NOC_NSU512_X0Y16 resp
NOC_NPS_VNOC_X0Y32 port3_out  Channel 623 req NOC_NSU512_X0Y16
NOC_NPS_VNOC_X0Y33 port2_out  Channel 606 port0_in NOC_NPS_VNOC_X0Y31
NOC_NPS_VNOC_X0Y33 port2_in  Channel 644 port0_out NOC_NPS_VNOC_X0Y31
NOC_NPS_VNOC_X0Y32 port0_out  Channel 620 port2_in NOC_NPS_VNOC_X0Y30
NOC_NPS_VNOC_X0Y32 port0_in  Channel 662 port2_out NOC_NPS_VNOC_X0Y30
NOC_NMU512_X0Y15 resp_in  Channel 647 port3_out NOC_NPS_VNOC_X0Y31
NOC_NMU512_X0Y15 req_out  Channel 640 port3_in NOC_NPS_VNOC_X0Y31
NOC_NPS_VNOC_X0Y31 port1_in  Channel 661 port1_out NOC_NPS_VNOC_X0Y30
NOC_NPS_VNOC_X0Y31 port1_out  Channel 645 port1_in NOC_NPS_VNOC_X0Y30
NOC_NPS_VNOC_X0Y30 port3_in  Channel 676 resp NOC_NSU512_X0Y15
NOC_NPS_VNOC_X0Y30 port3_out  Channel 663 req NOC_NSU512_X0Y15
NOC_NPS_VNOC_X0Y31 port2_out  Channel 646 port0_in NOC_NPS_VNOC_X0Y29
NOC_NPS_VNOC_X0Y31 port2_in  Channel 684 port0_out NOC_NPS_VNOC_X0Y29
NOC_NPS_VNOC_X0Y30 port0_out  Channel 660 port2_in NOC_NPS_VNOC_X0Y28
NOC_NPS_VNOC_X0Y30 port0_in  Channel 702 port2_out NOC_NPS_VNOC_X0Y28
NOC_NMU512_X0Y14 resp_in  Channel 687 port3_out NOC_NPS_VNOC_X0Y29
NOC_NPS_VNOC_X0Y29 port1_in  Channel 701 port1_out NOC_NPS_VNOC_X0Y28
NOC_NPS_VNOC_X0Y29 port1_out  Channel 685 port1_in NOC_NPS_VNOC_X0Y28
NOC_NMU512_X0Y14 req_out  Channel 680 NOC_NPS_VNOC_X0Y29 port3_in
NOC_NPS_VNOC_X0Y28 port3_in  Channel 716 resp NOC_NSU512_X0Y14
NOC_NPS_VNOC_X0Y28 port3_out  Channel 703 req NOC_NSU512_X0Y14
NOC_NPS_VNOC_X0Y29 port2_out  Channel 686 port0_in NOC_NPS_VNOC_X0Y27
NOC_NPS_VNOC_X0Y29 port2_in  Channel 724 port0_out NOC_NPS_VNOC_X0Y27
NOC_NPS_VNOC_X0Y28 port0_out  Channel 700 port2_in NOC_NPS_VNOC_X0Y26
NOC_NPS_VNOC_X0Y28 port0_in  Channel 742 port2_out NOC_NPS_VNOC_X0Y26
